dataset,setting,model,retrieval,baseline,kind,mode,coefficients_csv,coefficients_plot
Electricity,168_24,chronos2,instance_euclidean_3_online_other_users,cov_avgy_ridge_shared,ridge,shared,Electricity/168_24/instance_euclidean_3_online_other_users/cov_avgy_ridge_shared.csv,Electricity/168_24/instance_euclidean_3_online_other_users/cov_avgy_ridge_shared.png
Electricity,168_24,chronos2,instance_euclidean_3_online_all,cov_avgy_ridge_shared,ridge,shared,Electricity/168_24/instance_euclidean_3_online_all/cov_avgy_ridge_shared.csv,Electricity/168_24/instance_euclidean_3_online_all/cov_avgy_ridge_shared.png
Electricity,168_24,chronos2,instance_euclidean_3_online_same_user,cov_avgy_ridge_shared,ridge,shared,Electricity/168_24/instance_euclidean_3_online_same_user/cov_avgy_ridge_shared.csv,Electricity/168_24/instance_euclidean_3_online_same_user/cov_avgy_ridge_shared.png
Electricity,168_24,chronos2,instance_euclidean_3_online_other_users,cov_y_ridge_shared,ridge,shared,Electricity/168_24/instance_euclidean_3_online_other_users/cov_y_ridge_shared.csv,Electricity/168_24/instance_euclidean_3_online_other_users/cov_y_ridge_shared.png
Electricity,168_24,chronos2,instance_euclidean_3_online_all,cov_y_ridge_shared,ridge,shared,Electricity/168_24/instance_euclidean_3_online_all/cov_y_ridge_shared.csv,Electricity/168_24/instance_euclidean_3_online_all/cov_y_ridge_shared.png
Electricity,168_24,chronos2,instance_euclidean_3_online_same_user,cov_y_ridge_shared,ridge,shared,Electricity/168_24/instance_euclidean_3_online_same_user/cov_y_ridge_shared.csv,Electricity/168_24/instance_euclidean_3_online_same_user/cov_y_ridge_shared.png
Electricity,168_24,chronos2,instance_euclidean_3_online_other_users,full_ridge_shared,ridge,shared,Electricity/168_24/instance_euclidean_3_online_other_users/full_ridge_shared.csv,Electricity/168_24/instance_euclidean_3_online_other_users/full_ridge_shared.png
Electricity,168_24,chronos2,instance_euclidean_3_online_all,full_ridge_shared,ridge,shared,Electricity/168_24/instance_euclidean_3_online_all/full_ridge_shared.csv,Electricity/168_24/instance_euclidean_3_online_all/full_ridge_shared.png
Electricity,168_24,chronos2,instance_euclidean_3_online_same_user,full_ridge_shared,ridge,shared,Electricity/168_24/instance_euclidean_3_online_same_user/full_ridge_shared.csv,Electricity/168_24/instance_euclidean_3_online_same_user/full_ridge_shared.png
Electricity,168_24,chronos2,raw_euclidean_1_online_other_users,full_ridge_shared,ridge,shared,Electricity/168_24/raw_euclidean_1_online_other_users/full_ridge_shared.csv,Electricity/168_24/raw_euclidean_1_online_other_users/full_ridge_shared.png
