horizon,V,C,Y_1,N_1
1,-3.176666071167423e-05,-3.169377821813842e-05,-2.8523540149409146e-05,-2.852734571459941e-05
2,-2.0655083443546643e-05,-2.0638186801686876e-05,-1.935123391609169e-05,-1.922078224078142e-05
3,-4.262466427053642e-05,-4.265449888478269e-05,-4.461969928147804e-05,-4.3953099975210054e-05
4,-1.7452097457300085e-05,-1.7453920115272674e-05,-1.7546768403082727e-05,-1.6823549134292808e-05
5,-3.923945594527161e-05,-3.929063879537548e-05,-4.154830481500685e-05,-4.088883938127092e-05
6,-1.820667526501694e-05,-1.833947559844129e-05,-2.1530480952711843e-05,-2.277242306810352e-05
7,-7.780959887268369e-05,-7.800247711763832e-05,-7.873811307747024e-05,-8.12648634977598e-05
8,-7.306334330380855e-05,-7.344500583787056e-05,-7.778001557570781e-05,-8.011215871895421e-05
9,-9.668539786754765e-05,-9.695858156916017e-05,-9.793806457166969e-05,-0.00010074615229503874
10,-0.000113060964994853,-0.00011295726000091604,-0.00010601331270588713,-0.00010798742824027864
11,-6.635575728336748e-05,-6.628956688394083e-05,-6.420456039965161e-05,-6.530155702968326e-05
12,-7.012991486279386e-05,-7.009280942858139e-05,-7.061312843882344e-05,-6.973669106543377e-05
13,-5.16881538460929e-05,-5.188427061222612e-05,-4.9272794531095794e-05,-4.9582897750986304e-05
14,-8.139561960171868e-05,-8.150298035220291e-05,-7.673268063604528e-05,-7.799956426121471e-05
15,-0.0001576446799011455,-0.00015741755931874068,-0.00015046375609974617,-0.00015189771127085313
16,-9.814603433034711e-05,-9.789023057009085e-05,-9.190832544885645e-05,-9.252682783114897e-05
17,-0.00011436274258095904,-0.00011372621728039402,-0.00010511003362838399,-0.0001051462811372984
18,-0.00012887823657329887,-0.00012810142302934415,-0.0001198731838962354,-0.00011962215668767888
19,-0.00012133861736272557,-0.00012059723021684854,-0.00011668673834198716,-0.00011382624128178592
20,-0.00013701085644813893,-0.0001361757438038054,-0.000133514112776034,-0.00013093834101521288
21,-0.0001419861053691562,-0.00014104339316299593,-0.00013977003927835563,-0.00013687523600657898
22,-0.00012808318645646976,-0.00012707990423265375,-0.0001257869149014274,-0.00012427200178997892
23,-0.00013798859480644124,-0.0001368077531295639,-0.00013489252841348672,-0.0001343569434920293
24,-0.0001660386931170058,-0.00016491201692344607,-0.00016569125599597202,-0.00016403573657234962
25,-0.00014464339680952696,-0.0001432046759040071,-0.00014524952528509072,-0.00014025672590484956
26,-0.00017199459989944462,-0.0001705143893637087,-0.00017077810172163766,-0.00016807808666749696
27,-0.00015890286658691715,-0.00015742630755530502,-0.00015839642285008139,-0.0001578131811815378
28,-0.00017911498039955583,-0.0001777422499586959,-0.0001789577411430822,-0.00018045186279615528
29,-0.00013890589255133193,-0.00013768427813589475,-0.00013620343591966332,-0.00013915985157837615
30,-0.000170437043149855,-0.00016896932027297677,-0.0001680189992915012,-0.0001676360126629571
31,-0.00016216651877967787,-0.00016026956538765205,-0.00015732367468130072,-0.00015689647199825844
32,-0.00019257273180566697,-0.0001905245490252161,-0.00018333790250977457,-0.00018574089927429546
33,-0.00023274091420259343,-0.00022905045726461304,-0.00022148212896836223,-0.00022835300389033853
34,-0.00024287776548147526,-0.00023897880680488426,-0.0002258732453533516,-0.00024027051658420402
35,-0.0002319607890187481,-0.00022775571885665454,-0.00021297205842629862,-0.00022661114137105653
36,-0.0001803037315311401,-0.00017641459690563542,-0.0001669126571458564,-0.00017919410211737278
37,-0.00019373611344670482,-0.00019000571300452422,-0.00018377068360520343,-0.00019249930922136696
38,-0.00017059940422987276,-0.0001669663250035678,-0.0001573786186013431,-0.00016973467951338005
39,-0.0002016843742405323,-0.00019799073954070303,-0.000188771545572284,-0.00020201628535364359
40,-0.00026240999630197876,-0.00025891967753605545,-0.0002530155912325173,-0.00026322778080153453
41,-0.0002364599720268368,-0.00023296434580189203,-0.00022908577087264804,-0.00023805509646465184
42,-0.00021951176454692518,-0.0002163989591554635,-0.00021000696549134843,-0.00021817154828306684
43,-0.00023722767817555752,-0.00023386499953523667,-0.00022552886130999648,-0.0002339705338260817
44,-0.00023471088617442256,-0.0002315758183203276,-0.00022918204997108868,-0.00023896467554545544
45,-0.00024496385931381087,-0.0002412576795573285,-0.00023891097767351306,-0.0002496482700205474
46,-0.0002459669035136876,-0.0002415670532825021,-0.00023376093103909213,-0.00024578394936015463
47,-0.00025401134102707903,-0.0002495731468667926,-0.00023894926896265113,-0.00025137275210328073
48,-0.0002373554599967684,-0.00023293296623249152,-0.00021817134881736987,-0.00023483723964357297
